street_number;street_name
13;Avenue Barthélémy Buyer
44;Avenue Barthélémy Buyer
68;Avenue Barthélémy Buyer
207;Avenue Barthélémy Buyer
209;Avenue Barthélémy Buyer
211;Avenue Barthélémy Buyer
213;Avenue Barthélémy Buyer
215;Avenue Barthélémy Buyer
217;Avenue Barthélémy Buyer
219;Avenue Barthélémy Buyer
221;Avenue Barthélémy Buyer
223;Avenue Barthélémy Buyer
225;Avenue Barthélémy Buyer
227;Avenue Barthélémy Buyer
229;Avenue Barthélémy Buyer
2;Rue Maurice Bellemain
4;Rue Maurice Bellemain
6;Rue Maurice Bellemain
8;Rue Maurice Bellemain
10;Rue Maurice Bellemain
12;Rue Maurice Bellemain
14;Rue Maurice Bellemain
16;Rue Maurice Bellemain
18;Rue Maurice Bellemain
20;Rue Maurice Bellemain
47;Rue Docteur Edmond Locard
49;Rue Docteur Edmond Locard
51;Rue Docteur Edmond Locard
77;Rue Docteur Edmond Locard
79;Rue Docteur Edmond Locard
81;Rue Docteur Edmond Locard
57;Montée de Choulans
59;Montée de Choulans
134;Montée de Choulans
136;Montée de Choulans
155;Montée de Choulans
30;Rue des Chevaucheurs
48;Rue des Chevaucheurs
50;Rue des Chevaucheurs
52;Rue des Chevaucheurs
54;Rue des Chevaucheurs
56;Rue des Chevaucheurs
1;Rue Appian
15;Rue Des Fossés de Trion
17;Rue Des Fossés de Trion
19;Rue Des Fossés de Trion
21;Rue Des Fossés de Trion
30;Rue des Anges
55;Avenue du Point du Jour
7;Rue des Aqueducs
37b;Rue des Aqueducs
39;Rue des Aqueducs
39b;Rue des Aqueducs
10;Rue Nicolas Sicard
12;Rue Nicolas Sicard
14;Rue Nicolas Sicard
16;Rue Nicolas Sicard
18;Rue Nicolas Sicard
20;Rue Nicolas Sicard
22;Rue Nicolas Sicard
24;Rue Nicolas Sicard
26;Rue Nicolas Sicard
28;Rue Nicolas Sicard
30;Rue Nicolas Sicard
32;Rue Nicolas Sicard
52;Rue Joliot Curie
123b;Rue Joliot Curie
1;Rue Abbé Papon
3;Rue Abbé Papon
17;Rue Abbé Papon
19;Rue Abbé Papon
21;Rue Abbé Papon
88;Rue de la Garenne
44;Rue des Noyers
46;Rue des Noyers
14;Rue des Noyers
16;Rue des Noyers
18;Rue des Noyers
20;Rue des Noyers
15;Rue Jean Fauconnet
17;Rue Jean Fauconnet
19;Rue Jean Fauconnet
21;Rue Jean Fauconnet
23;Rue Jean Fauconnet
25;Rue Jean Fauconnet
56;Rue Pierre Valdo
125;Rue Pierre Valdo
127;Rue Pierre Valdo
129;Rue Pierre Valdo
104;Rue Pierre Valdo
106;Rue Pierre Valdo
108;Rue Pierre Valdo
110;Rue Pierre Valdo
112;Rue Pierre Valdo
114;Rue Pierre Valdo
116;Rue Pierre Valdo
118;Rue Pierre Valdo
120;Rue Pierre Valdo
80;Rue Pierre Valdo
74;Rue Pierre Valdo
29;Rue de Tourvielle
31;Rue de Tourvielle
60;Rue Commandant Charcot
84;Rue Commandant Charcot
86;Rue Commandant Charcot
86B;Rue Commandant Charcot
86T;Rue Commandant Charcot
86Q;Rue Commandant Charcot
32;Boulevard des Castors
